LDC_Translation_1	LDC_Translation_2	LDC_Translation_3
Support of France's Recommendation	Support for the Proposal of France	French Proposal Endorsed
The Committee meeting was held in Parliament House on Friday under the direction of Committee Chairman Mushahid Hussain Sayed, wherein it was recommended to the government that, in addition to sending relief supplies, it should also send a parliamentary delegation of the representatives of all political parties to Palestine.	A Meeting of the Committee was held, headed by Mushahid Hussain, in the Parliament House on Friday in which a proposal was submitted to the government that, besides relief goods, a delegation of parliamentarians comprised of representatives from all political parties should also be sent to Palestine.	The Committee met on Friday at Parliament House under the leadership of Committee Chairman Mushahid Hussain Syed, whereat it was proposed to the government that besides relief goods, a parliamentary delegation comprising of representatives of all the political parties should be sent to Palestine.
After the meeting, Mushahid Hussain Sayed, while talking to the representative of the media, said the Committee has welcomed France's recommendation that Israel immediately call a ceasefire and permit relief activities for victims in Gaza.	After the meeting, while talking to the media, Mushahid Hussain Sayed said that the Committee has welcomed the proposal of France in which it has been said that Israel should implement the ceasefire immediately, and, besides that, it should allow relief activities to be carried out for the affected people in Gaza.	Talking to the media representatives after the meeting, Mushahid Hussain Syed said that the Committee welcomed the French proposal which states that Israel should observe immediate ceasefire and in addition, allow relief activities for the effected people of Gaza.
Declaring Israel's attack on Palestinians a crime against humanity, he said that all countries should condemn these attacks.	While declaring the Israeli attack on Palestinians a crime against humanity, he said that all countries should deplore these attacks.	Declaring Israeli attack on Palestinians as crime against humanity, he said that all countries should condemn these attacks
Targeting his criticism against their double standard, Mushahid Hussain questioned the silence of those who speak out against terrorism about Israel's attacks on Palestinians.	Mushahid Hussain, while criticizing the double standards of the countries of the world, asked why those who talk against terrorism are silent about the Israeli attacks on Palestinians.	Criticizing double-standards of the international community, Mushahid Hussain questioned as to why countries that speak against terrorism are now silent on the Israeli attacks on Palestinians.
The Chairman of the Senate Standing Committee on Foreign Affairs also criticized the apathetic behavior of Muslim leaders on the problem in Palestine.	The Chairman of the Senate's Standing Committee on Foreign Affairs also criticized the cold attitude of the leaders of the Muslim world on the issue of Palestine.	Chairman of the Senate's Standing Committee for External Affairs also criticized the indifferent attitude of Muslim leaders towards the Palestine issue.
He said that the committee is hopeful that the newly elected American president Barack Obama will address the Muslim world during his first 100 days in office so that the gulf between America and the Muslim world can be bridged.	He said that the Committee has shown hopes that the newly-elected President of America, Barack Obama, will address to the Muslim World in his first 100 days so that the gap created between America and the Muslim world could be eliminated.	He said that the Committee expressed hope that America's newly elected president, Barack Obama, will address the Muslim community during his first one hundred days of government in order to bridge the gap between America and the Muslim community.
Mushahid Hussain Sayed said that, not only should emergency steps be taken to fill the gap between the Muslim world and the West, but also old problems like those of Kashmir and Palestine should also be solved.	Mushahid Hussain Sayed said that not only emergency measures should be taken to fill the gap between the West and the Muslim world, but also the long-standing issues like Kashmir and Palestine should be resolved.	Mushahid Hussain Syed said that not only should urgent steps be taken to bridge the gap between the Muslim community and the West but longstanding issues like Kashmir and Palestine should also be resolved.
Malik Amad Khan, Minister of State for Foreign Affairs, told the Committee that he is going to Saudi Arabia to attend the meeting of foreign ministers for the Organization of Islamic Countries.	The Minister of State for Foreign Affairs Malik Ahmad Khan told the Committee that he was going to Saudi Arabia to attend the conference of the Council of Foreign Ministers of the Organization of the Islamic Conference.	The Minister of State for Foreign Affairs, Malik Emad Khan, informed the Committee that he is leaving for Saudi Arabia to attend the foreign ministers' meeting of the Organization of the Islamic Conference.
This emergency meeting has been called as a result of Israel's attacks on Palestine. He said that the government is aware of the Palestine issue and is in contact with the leaders of other countries about it.	This emergency meeting has been called in response to the Israeli attacks on Palestine. He said that the government is aware of the Palestine issue and is in touch with the leaders of the other countries.	This urgent meeting has been called as a result of Israeli attacks on Palestine. He said is aware of the Palestine issue and the government is in touch with the leaders of other countries in this regards.
The Minister of State for Foreign Affairs said that the problem of Palestine should be solved according to the resolutions of the United Nations.	The Minister of State for Foreign Affairs said that the Kashmir issue should be resolved according to the resolutions of the United Nations.	The Minister of State for Foreign Affairs said that the Palestine issue should be resolved in accordance with the United Nations' resolutions.
Two journalists from Arab countries also participated in the meeting and reported the current situation in Palestine.	Two journalists belonging to the Arab countries also attended the meeting and they talked about the current situation of Palestine in the meeting.	Two journalists related to Arab countries also attended the meeting and they informed about the current situation of Palestine, in the meeting.
Meanwhile, students of the International University in Islamabad held a protest demonstration against Israeli attacks on Palestine.	Here, in Islamabad, the students of International University also staged a protest rally against the Israeli attacks on Palestine.	Meanwhile, students of the International University in Islamabad held a protest against Israeli attacks on Palestine.
The demonstrators were holding banners and signs featuring slogans against Israel.	The demonstrators were holding banners and placards on which there were slogans against Israel.	Protesters were also holding banners and posters with slogans written on them against Israel.
Avoiding Dieting Can Prevent Flu	Avoid Dieting to Avoid Flu	Avoid Dieting to Protect Against Flu
This finding by American scientists has emerged as a result of experiments performed on rats.	This research of American scientists has come to light after experiments done on mice.	This research by American scientists has come out as a result of experiments conducted on mice.
The experiments proved that the ability to combat the flu virus was lower in rats who were kept on a low-calorie diet.	The experiments have proved that the capability of fighting Flu virus became less in mice placed on food containing fewer calories.	Experiments proved that the ability to fight the flu virus, relatively decreased in mice kept on a low calorie diet.
This research has proven wrong the old saying that "while suffering from fever, it is better to abstain from eating."	The old saying that,'It's better to starve during fever,'has been proven wrong by the research.	Research has proved wrong the old saying, to 'starve a fever'.
According to scientists, it is better to eat and drink a lot during a fever.	According to the scientists,eat well during fever.	According to scientists one should eat heartily in a fever.
Researchers from Michigan State University say that rats on a low diet were found to have less ability to fight off infection and an increased chance of mortality, while rats on a normal diet had greater resistance against the flu virus.	According to the researchers of Michigan State University, the fighting capability against infections in mice that were placed on a diet was found meagre and the chances of their death increased, while the mice placed on regular food had a very high immunity against flu virus.	According to the researchers of Michigan State University, mice on diet were found to have much less ability to fight infection and they had a higher possibility of death, whereas mice on a normal diet had a higher immunity against the flu virus.
According to Professor Elizabeth Gardner, people on a diet will not only succumb quickly to the flu, but will also take longer to recover.	According to Professor Elizabeth Gardner, people on a diet will not only be affected very quickly by the flu,it will also take more time for them to recuperate.	According to professor Elizabeth Gardner, people that are dieting will not only be affected by the flu more quickly but they will also take longer to get well.
She also says that even people who have taken the flu vaccine should avoid dieting during the winter months.	She also says that even those people who have taken the flu vaccine should avoid dieting during the few months of winter.	She also said that those individuals who have already taken the flu vaccine should also avoid dieting during the few months of winter.
First Nuclear Test Done in 1990	"First Nuclear Experiment conducted in 1990"	'First Nuclear Test, Carried Out in 1990'
